domain,symbol,evidence,notes
runtime,LuaSystemAPI_Game,VERIFIED_NAME,metadata
runtime,LuaSystemAPI_Network,VERIFIED_NAME,metadata
runtime,LuaSystemManager,VERIFIED_NAME,metadata
thread,MainThread,RECONFIRMED,metadata + prior parse
player,RoleData,VERIFIED_NAME,metadata
player,LuaLeaderData,VERIFIED_NAME,metadata
player,CurrentHP,VERIFIED_NAME,metadata
player,MaxHP,VERIFIED_NAME,metadata
player,IsDeath,VERIFIED_NAME,metadata
map,MapID,VERIFIED_NAME,metadata
map,PosX,VERIFIED_NAME,metadata
map,PosY,VERIFIED_NAME,metadata
map,Position,VERIFIED_NAME,metadata
map,IsMapReady,VERIFIED_NAME,metadata
map,GetCurrentMoveDestination,VERIFIED_NAME,metadata
map,GetLocalMapObjects,VERIFIED_NAME,metadata
map,GetNearbyObjects,VERIFIED_NAME,metadata
world,GetNearByPeacePlayers,VERIFIED_NAME,metadata
world,GetNearbySpritesWithPredicate,VERIFIED_NAME,metadata
target,SelectedTarget,VERIFIED_NAME,metadata
target,GetNearByEnemies,VERIFIED_NAME,metadata
target,SelectTarget,VERIFIED_NAME,metadata
target,ChaseTarget,VERIFIED_NAME,metadata
skill,UseSkill,VERIFIED_NAME,metadata
skill,RequestUsingSkill,VERIFIED_NAME,metadata
skill,RequestUsingSkillWithTarget,VERIFIED_NAME,metadata
skill,RequestUsingSkillWithPos,VERIFIED_NAME,metadata
skill,GetSkillCooldown,VERIFIED_NAME,metadata
skill,GetBuffs,VERIFIED_NAME,metadata
skill,GetSkillLuaData,VERIFIED_NAME,metadata
movement,MoveTo,VERIFIED_NAME,metadata
movement,MoveToEx,VERIFIED_NAME,metadata
movement,GoTo,VERIFIED_NAME,metadata
path,AutoPathManager,VERIFIED_NAME,metadata
path,StartAutoPath,VERIFIED_NAME,metadata
path,StopAutoPath,VERIFIED_NAME,metadata
path,IsAutoPathing,VERIFIED_NAME,metadata
path,SendAutoPathRequestChangeMap,VERIFIED_NAME,metadata
npc,GetNPCPosition,VERIFIED_NAME,metadata
npc,ClickNPC,VERIFIED_NAME,metadata
bag,GetFreeBagSpace,VERIFIED_NAME,metadata
bag,GetItemsAtSite,VERIFIED_NAME,metadata
bag,GetItems,VERIFIED_NAME,metadata
bag,GetItemData,VERIFIED_NAME,metadata
bag,GetItemAtSite,VERIFIED_NAME,metadata
bag,GetTotalItems,VERIFIED_NAME,metadata
bag,CountItem,VERIFIED_NAME,metadata
item,IsItemSellable,VERIFIED_NAME,metadata
item,GetItemBasePrice,VERIFIED_NAME,metadata
item,GetItemType,VERIFIED_NAME,metadata
item,GetEquipType,VERIFIED_NAME,metadata
item,IsItemThrowable,VERIFIED_NAME,metadata
item,IsItemSellToShopWithBoundMoney,VERIFIED_NAME,metadata
network,SendPacketToServer,VERIFIED_NAME,metadata
network,SendPacket,VERIFIED_NAME,metadata
network,TCPGame,VERIFIED_NAME,metadata
network,TCPOutPacket,VERIFIED_NAME,metadata
network,PacketCmdID,VERIFIED_NAME,metadata
revive,CMD_REVIVE,VERIFIED_NAME,metadata
revive,ProcessObjectDeath,VERIFIED_NAME,metadata
revive,ProcessObjectRevive,VERIFIED_NAME,metadata
asset,AssetBundleUtils,VERIFIED_NAME,metadata
asset,LoadWithCrypto,VERIFIED_NAME,metadata
asset,LoadWithCryptoAsync,VERIFIED_NAME,metadata
security,FG_EmuDetect,VERIFIED_EXPORT,libFGClientTool_Android.so
security,FG_GetEmuScore,VERIFIED_EXPORT,libFGClientTool_Android.so
security,FG_GetEmuReason,VERIFIED_EXPORT,libFGClientTool_Android.so
security,FG_IsAdbEnabled,VERIFIED_EXPORT,libFGClientTool_Android.so
security,FG_IsAdbReallyEnabled,VERIFIED_EXPORT,libFGClientTool_Android.so
security,FG_GetEnabledAccessibilityServices,VERIFIED_EXPORT,libFGClientTool_Android.so
security,FG_CanDrawOverlays,VERIFIED_EXPORT,libFGClientTool_Android.so
security,FG_GetSecurityReport,VERIFIED_EXPORT,libFGClientTool_Android.so
